"id_entity","dim_company_size","dim_preferred_currency","dim_region","dim_country","dim_state","dim_payment_type","dim_status","dim_is_setup_for_groups","dim_is_active","dim_is_signed_up_company","ts_created"
"15F6EA","[unknown]","USD","Europe","FR",NA,"Tracking","Open Invite",0,1,0,"1502666980"
"440","5000+","USD",NA,NA,NA,"Tracking","Open Invite",0,1,1,"1437650577"
"448","1-20","USD",NA,NA,NA,"Tracking","Open Invite",0,1,1,"1437655923"
"4A3","1-20","USD",NA,NA,NA,"Tracking","Open Invite",0,0,0,"1437726207"
"542","20-100","USD",NA,NA,NA,"Tracking","Open Invite",0,1,1,"1437968708"
"599","250-1000","USD",NA,NA,NA,"Tracking","Open Invite",0,1,1,"1438053595"
"631","1-20",NA,NA,NA,NA,"Centralized Billing","Open Invite",0,0,0,"1438216233"
"67D","250-1000","USD",NA,NA,NA,"Tracking","Open Invite",0,1,1,"1438301541"
"694","20-100","EUR","Europe","DE","Deutschland (EU)","Centralized Billing","Open Invite",1,1,1,"1438336561"
"722","1-20",NA,NA,NA,NA,"Centralized Billing","Open Invite",0,0,0,"1438608509"
"E3F","20-100","USD","Europe","DE",NA,"Tracking","Open Invite",0,1,1,"1440135851"
"302B","100-250","USD","North America","US",NA,"Tracking","Open Invite",0,1,0,"1445441276"
"3D21","1-20","USD","Australia","AU",NA,"Tracking","Open Invite",0,1,0,"1446634948"
"3D84","100-250","USD","LatAm","CO",NA,"Tracking","Open Invite",0,1,0,"1446657132"
"3DD8","250-1000","USD","North America","US",NA,"Tracking","Open Invite",0,1,1,"1446683769"
"3E02","5000+","EUR","Europe","DE","","Tracking","Open Invite",0,1,1,"1446703285"
"5714","1000-5000","USD","Europe","FR",NA,"Tracking","Open Invite",0,1,1,"1449532445"
"6097","20-100","USD","LatAm","BR",NA,"Tracking","Open Invite",0,1,0,"1450265914"
"7DE8","5000+","USD","North America","US",NA,"Tracking","Open Invite",0,1,1,"1452282674"
"8027","250-1000","USD","Europe","FR",NA,"Tracking","Open Invite",0,1,1,"1452441494"
"CC39","1000-5000","USD","North America","US",NA,"Tracking","Open Invite",0,1,0,"1454603517"
"16B9C","1000-5000","USD","North America","US",NA,"Tracking","Open Invite",0,1,0,"1457716395"
"16BB8","1000-5000","EUR","Europe","IE","","Tracking","Open Invite",0,1,1,"1457717784"
"1902A","5000+","USD","North America","US","","Tracking","Open Invite",0,1,1,"1458310324"
"1E56B","5000+","USD","North America","US",NA,"Tracking","Open Invite",0,1,0,"1459722142"
"35838","[unknown]","USD","North America","US",NA,"Tracking","Open Invite",0,1,0,"1464179627"
"3B875","[unknown]","USD","North America","US",NA,"Tracking","Open Invite",0,1,0,"1465242552"
"3B88C","[unknown]","USD","North America","US",NA,"Tracking","Open Invite",0,1,0,"1465243034"
"3B898","[unknown]","USD","North America","US",NA,"Tracking","Open Invite",0,1,0,"1465243186"
"3B930","250-1000","USD","North America","US","CA","Tracking","Open Invite",0,1,1,"1465247134"
"3BA75","[unknown]","USD","North America","US",NA,"Tracking","Open Invite",0,1,0,"1465257948"
"3BA9D","[unknown]","USD","North America","CA",NA,"Tracking","Open Invite",0,1,0,"1465259505"
"3BBB9","[unknown]","USD","North America","US",NA,"Tracking","Open Invite",0,1,0,"1465270332"
"3C7DE","[unknown]","USD","North America","US",NA,"Tracking","Open Invite",0,1,0,"1465375135"
"3C809","250-1000","USD","North America","US",NA,"Tracking","Open Invite",0,1,0,"1465376558"
"3C815","[unknown]","USD","North America","US",NA,"Tracking","Open Invite",0,1,0,"1465376964"
"3C840","5000+","USD","Europe","GB",NA,"Tracking","Open Invite",0,1,1,"1465378280"
"3DCE3","[unknown]","USD","North America","US",NA,"Tracking","Open Invite",0,1,0,"1465558664"
"3DDFD","[unknown]","USD","Europe","DE",NA,"Tracking","Open Invite",0,1,0,"1465568454"
"1587EB","[unknown]","USD","North America","US",NA,"Tracking","Open Invite",0,1,0,"1501969761"
"16ACFD","[unknown]","USD","Europe","GB",NA,"Tracking","Open Invite",0,1,0,"1503755423"
"18725D","[unknown]","USD","Europe","ES",NA,"Tracking","Open Invite",0,1,0,"1506512554"
"19946E","[unknown]","USD","Europe","FR",NA,"Tracking","Open Invite",0,1,0,"1508087104"
"19F717","1-20","USD","Europe","FI",NA,"Tracking","Open Invite",0,1,1,"1508576419"
"1A5392","[unknown]","USD","Europe","GB",NA,"Tracking","Open Invite",0,1,0,"1509295052"
"1B5B86","[unknown]","USD","North America","US",NA,"Tracking","Open Invite",0,1,0,"1510879327"
"1B6CC9","[unknown]","USD","Europe","FR",NA,"Tracking","Open Invite",0,1,0,"1511008032"
"1C6BCD","[unknown]","USD","Asia","KR",NA,"Tracking","Open Invite",0,1,0,"1512720173"
"8BE","5000+","USD","North America","US","","Tracking","Open Invite",1,1,1,"1438927004"
"90C","1-20","USD","LatAm","BR",NA,"Tracking","Open Invite",0,1,1,"1438991271"
"9BB","1-20","USD","North America","US",NA,"Tracking","Open Invite",0,1,0,"1439222138"
"9C4","1-20","USD","North America","US",NA,"Tracking","Open Invite",0,1,1,"1439226077"
"A9F","1-20","USD","Europe","HU",NA,"Tracking","Open Invite",0,1,1,"1439382276"
"AB9","1-20","USD","North America","US",NA,"Centralized Billing","Open Invite",1,1,1,"1439393872"
"B1A","1-20","USD","North America","CA",NA,"Tracking","Open Invite",0,1,1,"1439464859"
"B20","100-250","USD","Europe","CH",NA,"Tracking","Open Invite",0,1,1,"1439470743"
"B6A","1-20","EUR","Europe","DE","Deutschland","Tracking","Open Invite",0,1,1,"1439534312"
"B98","5000+","USD","North America","US","","Tracking","Open Invite",0,1,1,"1439568593"
"BAE","1-20","USD","North America","US",NA,"Centralized Billing","Open Invite",1,1,1,"1439608673"
"BAF","5000+","USD","North America","US","","Tracking","Open Invite",0,0,0,"1439611896"
"C0B","1-20","USD","North America","US",NA,"Tracking","Open Invite",1,1,0,"1439741987"
"183F","100-250","USD","North America","US","AZ","Centralized Billing","Open Invite",1,1,1,"1441826619"
"328D","20-100","USD","North America","US",NA,"Tracking","Open Invite",0,1,1,"1445681684"
"3312","5000+","USD","North America","US",NA,"Tracking","Open Invite",1,1,1,"1445770282"
"4629","5000+","USD","LatAm","BR",NA,"Tracking","Open Invite",0,1,0,"1447604223"
"6462","5000+","USD","North America","US",NA,"Tracking","Open Invite",0,0,0,"1450573284"
"6488","250-1000","USD","North America","US",NA,"Tracking","Open Invite",0,1,0,"1450595742"
"8415","1-20","USD","Australia","TV",NA,"Centralized Billing","Open Invite",1,1,1,"1452619445"
"D4F8","5000+","USD","Europe","FR",NA,"Tracking","Open Invite",0,1,0,"1454842029"
"D7F5","5000+","USD","Europe","IE",NA,"Tracking","Open Invite",0,1,1,"1454922401"
"3C0F4","[unknown]","USD","North America","US",NA,"Tracking","Open Invite",0,1,0,"1465312882"
"3C128","[unknown]","USD","North America","US",NA,"Tracking","Open Invite",0,1,0,"1465314113"
"3C1DA","1-20","USD","North America","US",NA,"Tracking","Open Invite",0,1,1,"1465318609"
"3C37C","[unknown]","USD","LatAm","BR",NA,"Tracking","Open Invite",0,1,0,"1465330008"
"3C3B8","20-100","USD","North America","US",NA,"Tracking","Open Invite",0,1,1,"1465331426"
"15930E","[unknown]","USD","Asia","HK",NA,"Tracking","Open Invite",0,1,0,"1502055707"
"19FD36","[unknown]","USD","Australia","AU",NA,"Tracking","Open Invite",0,1,0,"1508631960"
"4","250-1000","USD","North America","US","","Monthly Invoicing","Open Invite",1,1,1,"1429051956"
"5","250-1000","USD","North America","US","","Monthly Invoicing","Open Invite",1,1,1,"1429116155"
"11","20-100","USD","North America","US","California","Tracking","Open Invite",1,1,0,"1429226287"
"1D","250-1000","USD","North America","US","DISTRICT OF COLUMBIA","Monthly Invoicing","Open Invite",1,1,1,"1429303739"
"2E","20-100","USD","North America","US","","Tracking","Open Invite",1,1,0,"1430760613"
"32",NA,NA,NA,NA,NA,"Monthly Invoicing","Open Invite",0,0,0,"1430762531"
"46",NA,NA,NA,NA,NA,"Monthly Invoicing","Open Invite",0,0,0,"1430783251"
"4B","250-1000","USD","North America","US","","Monthly Invoicing","Open Invite",1,1,1,"1430783429"
"52","5000+","USD","North America","US","CA","Tracking","Open Invite",0,1,1,"1431988105"
"53","5000+","USD",NA,NA,NA,"Tracking","Open Invite",0,1,1,"1432052801"
"81","20-100","USD","Europe","CZ","","Centralized Billing","Open Invite",1,1,1,"1436952680"
"8F","1-20","USD",NA,NA,NA,"Centralized Billing","Open Invite",0,0,0,"1437068035"
"99","100-250","USD",NA,NA,NA,"Tracking","Open Invite",0,1,1,"1437110641"
"A5","1-20","USD","Europe","GB","South Yorkshire","Centralized Billing","Open Invite",1,1,1,"1437158176"
"D2","1-20","EUR","Europe","MT","Sliema","Tracking","Open Invite",1,1,0,"1437416121"
"E7","100-250","USD",NA,NA,NA,"Centralized Billing","Open Invite",1,1,1,"1437423454"
"E9","1-20","USD",NA,NA,NA,"Tracking","Open Invite",0,1,1,"1437423488"
"F6","5000+","USD",NA,NA,NA,"Tracking","Open Invite",0,1,1,"1437424307"
"100","20-100","USD",NA,NA,NA,"Tracking","Open Invite",0,1,1,"1437424726"
"102","20-100","USD",NA,NA,NA,"Centralized Billing","Open Invite",1,1,1,"1437424793"
"106","1-20","USD",NA,NA,NA,"Centralized Billing","Open Invite",1,1,1,"1437424919"
"13C","20-100","USD","Europe","NL","ZH","Centralized Billing","Open Invite",1,1,1,"1437428180"
"140","20-100","USD","North America","US","","Tracking","Open Invite",0,1,1,"1437428667"
"151","1-20","USD",NA,NA,"Guadalajara","Centralized Billing","Open Invite",1,1,1,"1437429775"
"1C5","1-20","USD",NA,NA,NA,"Centralized Billing","Open Invite",1,1,1,"1437464871"
"1D8","1-20","USD",NA,NA,NA,"Centralized Billing","Open Invite",1,1,1,"1437470421"
"249","20-100","USD",NA,NA,"California","Centralized Billing","Open Invite",1,1,1,"1437491195"
"267","5000+","USD",NA,NA,"","Tracking","Open Invite",1,1,1,"1437494310"
"31D","1-20","AUD","Australia","AU","Victoria","Centralized Billing","Open Invite",1,1,1,"1437530271"
"39D","20-100","USD",NA,NA,NA,"Centralized Billing","Open Invite",1,1,1,"1437577270"
"3BF","20-100","USD",NA,NA,NA,"Tracking","Open Invite",0,1,1,"1437581626"
"3CB","1000-5000",NA,NA,NA,NA,"Tracking","Open Invite",0,0,0,"1437583520"
"16EE","1-20","USD","North America","US",NA,"Tracking","Open Invite",0,1,1,"1441676233"
"2281","1000-5000","USD","North America","US","","Monthly Invoicing","Open Invite",1,1,1,"1443434227"
"284D","5000+","USD","North America","US",NA,"Tracking","Open Invite",0,1,1,"1444328243"
"3C73","5000+","USD","North America","US",NA,"Tracking","Open Invite",0,1,1,"1446571136"
"424F","1000-5000","USD","North America","US",NA,"Tracking","Open Invite",0,0,0,"1447175194"
"4480","5000+","USD","Europe","FR",NA,"Tracking","Open Invite",0,1,0,"1447373733"
"4BFC","1000-5000","GBP","Europe","GB","","Tracking","Open Invite",0,1,1,"1448271563"
"5A00","20-100","EUR","Europe","LV",NA,"Centralized Billing","Open Invite",1,1,1,"1449748937"
"65CF","1000-5000","USD","Asia","TW",NA,"Tracking","Open Invite",0,1,1,"1450705072"
"75B8","5000+","USD","North America","US",NA,"Tracking","Open Invite",0,1,1,"1451937287"
"8FCB","5000+","GBP","Europe","GB","","Tracking","Open Invite",0,1,1,"1453246569"
"91D5","20-100","USD","Europe","DE",NA,"Tracking","Open Invite",0,1,1,"1453365982"
