"id_reservation","id_listing","id_guest","id_traveler","id_host","dim_cancellation_reason","ts_cancelled","ds"
"1757B28F","EDB7CE","594937","594937","1B21C3A","not_available","1500923168",2017-07-24
"EB06DBD","14BF01","261939","261939","6E43EC","extenuating_circumstance","1484067886",2017-01-10
"1A87DA56","9925C3","8C61C25","8C61C25","1DF1F1E","accommodations_unnecessary","1504534774",2017-09-04
"2920C7DD","51C749","171BD3F","171BD3F","10C904F","unknown","1522009596",2018-03-25
"1DC15282","E70C0D","1F43885","1F43885","4177A0F","accommodations_unnecessary","1508623225",2017-10-21
"1D554358","1425911","1A54CC","1A54CC","5754417","not_available","1507144747",2017-10-04
"265867EA","919A55","A372108","A372108","10CA627","other","1519772939",2018-02-27
"27D0689D","15BEE7B","9029434","9029434","A0B1AB0","other","1520530358",2018-03-08
"3860E12D","7497F2","78EDC17","78EDC17","6C6457","unknown","1538961354",2018-10-08
"1E725127","12DF238","843B418","843B418","789C3FB","unknown","1510514422",2017-11-12
"1A545A63","FAA27A","16A2883","16A2883","2540319","accidental_reservation","1503317153",2017-08-21
"2780F555","1635A67","A3449EE","A3449EE","A557053","host_legal_landlord","1520346906",2018-03-06
"21D5B25A","108E177","9B3F0A1","9B3F0A1","56D6AA4","accommodations_unnecessary","1514926331",2018-01-02
"106B6A65","1039B6D","15FA55E","15FA55E","238B357","unknown","1487370180",2017-02-17
"1138E6C9","FFDB57","51733C","51733C","2559096","other","1491486564",2017-04-06
"21DF6331","CA4F3C","565DC13","565DC13","4F2F94","other","1514878044",2018-01-02
"3932D46D","1631AE9","222472B","222472B","A5008EF","other","1538935008",2018-10-07
"37F64AC4","1B029FD","3A06B20","3A06B20","C6E5A1F","unknown","1539221865",2018-10-11
"237173C3","115190E","60558E","60558E","7771F41","accommodations_unnecessary","1515740515",2018-01-12
"20FF9013","13FF736","1204EE1","1204EE1","299CC8","other","1518030710",2018-02-07
"3B17662A","15F9777","2B0501","2B0501","A276001","other","1539879902",2018-10-18
"14ACA8CF","74F54C","4AA1B71","4AA1B71","265FA99","accommodations_unnecessary","1497981128",2017-06-20
"39F65590","16098A2","1C83B1F","1C83B1F","6AC3046","other","1538602047",2018-10-03
"21C521D3","15460AE","842138F","842138F","9B825B4","accidental_reservation","1513611033",2017-12-18
"3AE59C64","108E696","58A2E55","58A2E55","6FD997C","travel_dates_changed","1540802534",2018-10-29
"2DB92902","B4A8DB","132CCE1","132CCE1","29541BF","accommodations_unnecessary","1526403369",2018-05-15
"310B9B75","EC64B9","1F2BCFC","1F2BCFC","13C32CD","other","1533314105",2018-08-03
"38806144","15C0727","2C37508","2C37508","563E461","accommodations_unnecessary","1537119668",2018-09-16
"3537E451","103D5EE","4184004","4184004","65F8F8A","accommodations_unnecessary","1534518438",2018-08-17
"320DF0EC","8FA11D","1A91275","1A91275","F76DA5","accommodations_unnecessary","1531963651",2018-07-19
"19AE5082","1127F71","6718519","6718519","13E2B0C","extenuating_circumstance","1503885075",2017-08-28
"22BCDAB4","32F87C","192B3D","192B3D","119531","accommodations_unnecessary","1516741299",2018-01-23
"2C8999B1","1793A73","8A221C1","8A221C1","B2377E6","extenuating_circumstance","1528903460",2018-06-13
"1C5D057B","114F662","35D257B","35D257B","B9C7DA","unknown","1505903697",2017-09-20
"226E330C","13E5D98","9D2FF15","9D2FF15","196B587","uncomfortable_with_host","1514661506",2017-12-30
"3708FD26","163F4DB","2E77F0A","2E77F0A","629B62","accommodations_unnecessary","1541032251",2018-11-01
